"date","Q1","Q2"
1984.37704918033,1940,400
1984.37978142077,1690,317
1984.3825136612,1980,308
1984.38524590164,2320,270
1984.38797814208,2670,230
1984.39071038251,3020,250
1984.39344262295,3450,280
1984.39617486339,3700,300
1984.39890710383,3680,200
1984.40163934426,3430,150
1984.4043715847,3230,110
1984.40710382514,3080,99
1984.40983606557,3100,84
1984.41256830601,3120,76
1984.41530054645,3150,95
1984.41803278689,2950,100
1984.42076502732,2760,54
1984.42349726776,2510,50
1984.4262295082,2320,80
1984.42896174863,2070,140
1984.43169398907,2440,400
1984.43442622951,2050,360
1984.43715846995,1780,230
1984.43989071038,1520,198
1984.44262295082,1460,143
1984.44535519126,1510,124
1984.44808743169,1730,111
1984.45081967213,2140,102
1984.45355191257,2650,96
1984.45628415301,2850,90
1984.45901639344,2520,86
1984.46174863388,2240,78
1984.46448087432,2340,68
1984.46721311475,2280,55
1984.46994535519,2380,33
1984.47267759563,2440,27
1984.47540983607,2360,23
1984.4781420765,2340,22
1984.48087431694,2390,20
1984.48360655738,2350,19
1984.48633879781,2340,18
1984.48907103825,2260,11
1984.49180327869,2210,8.9
1984.49453551913,2300,8.9
1984.49726775956,2350,8
1984.5,2100,8
1984.50273224044,2010,7.6
1984.50546448087,1880,7
1984.50819672131,1730,5.7
1984.51092896175,1600,3.9
1984.51366120219,1550,3.2
1984.51639344262,1520,1.6
1984.51912568306,1700,1.6
1984.5218579235,2030,1.4
1984.52459016393,1650,1.5
1984.52732240437,1400,1.5
1984.53005464481,1260,1.6
1984.53278688525,1580,34
1984.53551912568,1450,8.9
1984.53825136612,1250,6
1984.54098360656,1140,4.1
1984.54371584699,1010,2.6
1984.54644808743,948,2.5
1984.54918032787,924,3.7
1984.55191256831,894,8.9
1984.55464480874,870,6.7
1984.55737704918,792,7.6
1984.56010928962,846,12
1984.56284153005,864,11
1984.56557377049,816,17
1984.56830601093,738,14
1984.57103825137,690,13
1984.5737704918,672,12
1984.57650273224,645,11
1984.57923497268,645,10
1984.58196721311,635,16
1984.58469945355,620,20
1984.58743169399,600,17
1984.59016393443,570,13
1984.59289617486,570,12
1984.5956284153,567,13
1984.59836065574,542,12
1984.60109289617,527,10
1984.60382513661,492,9.8
1984.60655737705,453,10
1984.60928961749,411,9.6
1984.61202185792,375,9.4
1984.61475409836,374,11
1984.6174863388,339,16
1984.62021857923,356,11
1984.62295081967,377,11
1984.62568306011,341,10
1984.62841530055,368,9.5
1984.63114754098,350,9
1984.63387978142,340,10
1984.63661202186,381,15
1984.6393442623,388,13
1984.64207650273,346,12
1984.64480874317,340,12
1984.64754098361,346,11
1984.65027322404,338,11
1984.65300546448,312,10
1984.65573770492,289,10
1984.65846994536,278,11
1984.66120218579,263,11
1984.66393442623,263,10
1984.66666666667,301,10
1984.6693989071,289,11
1984.67213114754,259,11
1984.67486338798,240,10
1984.67759562842,229,10
1984.68032786885,219,11
1984.68306010929,212,11
1984.68579234973,209,10
1984.68852459016,202,9.5
1984.6912568306,193,10
1984.69398907104,181,11
1984.69672131148,187,10
1984.69945355191,187,10
1984.70218579235,178,11
1984.70491803279,172,15
1984.70765027322,178,23
1984.71038251366,190,17
1984.7131147541,178,18
1984.71584699454,172,19
1984.71857923497,169,20
1984.72131147541,175,17
1984.72404371585,209,16
1984.72677595628,193,15
1984.72950819672,190,14
1984.73224043716,181,13
1984.7349726776,169,12
1984.73770491803,172,13
1984.74043715847,169,14
1984.74316939891,165,14
1984.74590163934,162,14
1984.74863387978,160,17
1984.75136612022,160,19
1984.75409836066,162,22
1984.75683060109,195,27
1984.75956284153,206,32
1984.76229508197,172,29
1984.7650273224,169,26
1984.76775956284,172,23
1984.77049180328,168,20
