"group","lat_dd","lon_dd","temp_C","notes"
"602513",30.6153,-96.3408,22.3,
"602513",30.6153,-96.3407,22.7,
"602513",30.6154,-96.3409,22.7,
"602513",30.6156,-96.3413,22.1,
"602513",30.6157,-96.3412,22,
"602513",30.6159,-96.3412,22,
"602513",30.616,-96.3412,21,
"602513",30.6161,-96.3413,21.7,
"602513",30.616,-96.3415,21.4,
"602513",30.6159,-96.3418,23.1,
"602513",30.6159,-96.342,23,
"602513",30.6159,-96.3421,22,
"602513",30.6158,-96.3423,21.3,
"602513",30.6157,-96.3421,23.1,
"602513",30.6155,-96.342,22,
"602513",30.6155,-96.342,21.1,
"602513",30.6154,-96.3419,21,
"602513",30.6153,-96.3416,21.4,
